canonical_reported_name,province_reported,city_reported,trial_count,active_trial_count,name_variants,resolution_status,candidate_count,first_trial_id,source_url,review_reason,candidates_json
Tianjin Medical University Second Hospital,Tianjin Municipality,Tianjin,17,14,Tianjin Medical University Second Hospital | Tianjin Medical University second hospital,unmatched,0,NCT03786848,https://clinicaltrials.gov/study/NCT03786848,,[]
Tianjin Third Central Hospital,,Tianjin,17,3,Tianjin Third Central Hospital,unmatched,0,NCT01140997,https://clinicaltrials.gov/study/NCT01140997,,[]
Union Hospital Tongji Medical College of Huazhong University of Science and Technology,,Wuhan,17,6,Union Hospital Tongji Medical College of Huazhong University of Science and Technology,unmatched,0,NCT03617016,https://clinicaltrials.gov/study/NCT03617016,,[]
Weifang People's Hospital,,Weifang,17,8,Weifang People's Hospital,unmatched,0,NCT02584478,https://clinicaltrials.gov/study/NCT02584478,,[]
Xianyang Hospital of Yan'an University,,Xianyang,17,8,Xianyang Hospital of Yan'an University | Xianyang Hospital of Yan 'an University | XianYang Hospital OF Yan'an University,unmatched,0,NCT04915729,https://clinicaltrials.gov/study/NCT04915729,,[]
"Xinhua Hospital, Shanghai Jiao Tong University School of Medicine",,Shanghai,17,9,"Xinhua Hospital, Shanghai Jiao Tong University School of Medicine | Xinhua Hospital, Shanghai Jiaotong University School of Medicine | Xinhua hospital, Shanghai Jiao Tong University School of Medicine | Xinhua Hospital,Shanghai Jiao Tong University School of Medicine | Xinhua Hospital Shanghai Jiaotong University School of Medicine",unmatched,0,NCT02099721,https://clinicaltrials.gov/study/NCT02099721,,[]
Zhongshan Hospital Xiamen University,,Xiamen,17,7,"Zhongshan Hospital Xiamen University | Zhongshan Hospital, Xiamen University",unmatched,0,NCT03466411,https://clinicaltrials.gov/study/NCT03466411,,[]
Zhujiang Hospital,,Guangzhou,17,10,Zhujiang Hospital,unmatched,0,NCT05034029,https://clinicaltrials.gov/study/NCT05034029,,[]
920th Hospital of Joint Logistics Support Force of People's Liberation Army of China,Yunnan,Kunming,16,12,920th Hospital of Joint Logistics Support Force of People's Liberation Army of China,unmatched,0,NCT04860817,https://clinicaltrials.gov/study/NCT04860817,,[]
Affiliated Hospital of Yangzhou University,Jiangsu,Yangzhou,16,5,Affiliated Hospital of Yangzhou University | Affiliated hospital of yangzhou university,unmatched,0,NCT04078737,https://clinicaltrials.gov/study/NCT04078737,,[]
