hospital_id,official_name,filing_number,alias,normalized_alias,kind,evidence_status,source_url,accessed_at,valid_from,valid_to
cnha-cfdi-b2870695c0a80333631e9ffd9e95f3f7,深圳市宝安区中医院,药临床机构备字2020000653,深圳市宝安区中医院,深圳市宝安区中医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=7&pageSize=100,2026-09-05,,
cnha-cfdi-b2875c67c0a803332073bb678509f738,长兴县中医院,药临床机构备字2021000121,长兴县中医院,长兴县中医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=11&pageSize=100,2026-09-05,,
cnha-cfdi-b2939db6c0a80333536f1cb82206b70c,天津康汇医院,药临床机构备字2026000062,天津康汇医院,天津康汇医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=20&pageSize=100,2026-09-05,,
cnha-cfdi-b2b50356c0a803335b23b748970203e0,南平市第一医院,药临床机构备字2025000257,南平市第一医院,南平市第一医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=19&pageSize=100,2026-09-05,,
cnha-cfdi-b2b741bec0a80333716f6e202f535a53,汕头市澄海区人民医院,药临床机构备字2025000059,汕头市澄海区人民医院,汕头市澄海区人民医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=18&pageSize=100,2026-09-05,,
cnha-cfdi-b2ba4b41c0a80333455f44fef81c53c1,武汉亚洲心脏病医院,药临床机构备字2020000350,武汉亚洲心脏病医院,武汉亚洲心脏病医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=5&pageSize=100,2026-09-05,,
cnha-cfdi-b2c6e1adc0a80333315f7b9a63dc8e6f,平阳县人民医院,药临床机构备字2024000008,平阳县人民医院,平阳县人民医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=15&pageSize=100,2026-09-05,,
cnha-cfdi-b2c8b7b4c0a80333148b83d0d809fd72,开平市中心医院,药临床机构备字2024000115,开平市中心医院,开平市中心医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=16&pageSize=100,2026-09-05,,
cnha-cfdi-b2cf0846c0a80333640b9d33b0cd35e1,邵阳学院附属第二医院,药临床机构备字2025000201,邵阳学院附属第二医院,邵阳学院附属第二医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=19&pageSize=100,2026-09-05,,
cnha-cfdi-b2d90d4bc0a80333651e36c18085f547,长治医学院附属和济医院,药临床机构备字2024000260,长治医学院附属和济医院,长治医学院附属和济医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=17&pageSize=100,2026-09-05,,
cnha-cfdi-b2dd2f54c0a8033363e1b51ea2312280,天津市肿瘤医院秦皇岛医院,药临床机构备字2026000021,天津市肿瘤医院秦皇岛医院,天津市肿瘤医院秦皇岛医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=19&pageSize=100,2026-09-05,,
